"created_at","screen_name","text","source","retweet_count","favorite_count"
2019-07-27 00:21:25,"realDonaldTrump","https://t.co/9jgdUE5BF8","Twitter for iPhone",32058,125627
2019-07-26 22:37:00,"realDonaldTrump","Wow! Big VICTORY on the Wall. The United States Supreme Court overturns lower court injunction, allows Southern Border Wall to proceed. Big WIN for Border Security and the Rule of Law!","Twitter for iPhone",48859,198620
2019-07-26 22:18:26,"realDonaldTrump","https://t.co/nr9bDv3Ktq","Twitter Media Studio",19252,63184
2019-07-26 21:59:27,"realDonaldTrump","“@DHSgov @DHSMcAleenan Puts Guatemalan Migrants on Fast Track Home” https://t.co/SrkbGqsqvv","Twitter for iPhone",16766,59635
2019-07-26 21:38:48,"realDonaldTrump","Today, President Trump announced a safe third country agreement with Guatemala that will put human smugglers out of business and provide safety for legitimate asylum seekers. https://t.co/ENAifXfvRz","Twitter for iPhone",18962,0
2019-07-26 18:29:22,"realDonaldTrump","The WTO is BROKEN when the world’s RICHEST countries claim to be developing countries to avoid WTO rules and get special treatment. NO more!!! Today I directed the U.S. Trade Representative to take action so that countries stop CHEATING the system at the expense of the USA!","Twitter for iPhone",27441,107698
2019-07-26 18:17:05,"realDonaldTrump","Great morning at the Pentagon yesterday. Congratulations to our new Defense Secretary, Mark @EsperDoD! https://t.co/zqtA4XytJA","Twitter for iPhone",13917,68990
2019-07-26 16:32:42,"realDonaldTrump","France just put a digital tax on our great American technology companies. If anybody taxes them, it should be their home Country, the USA. We will announce a substantial reciprocal action on Macron’s foolishness shortly. I’ve always said American wine is better than French wine!","Twitter for iPhone",45017,185573
2019-07-26 15:25:07,"realDonaldTrump","Apple will not be given Tariff waiver, or relief, for Mac Pro parts that are made in China. Make them in the USA, no Tariffs!","Twitter for iPhone",23605,107754
2019-07-26 14:40:26,"realDonaldTrump","Q2 GDP Up 2.1% Not bad considering we have the very heavy weight of the Federal Reserve anchor wrapped around our neck. Almost no inflation. USA is set to Zoom!","Twitter for iPhone",15726,69846
2019-07-26 14:02:46,"realDonaldTrump","There may or may not be National Security concerns with regard to Google and their relationship with China. If there is a problem, we will find out about it. I sincerely hope there is not!!!","Twitter for iPhone",21166,95561
2019-07-26 13:58:16,"realDonaldTrump","....the fact that I have gone through a three year vicious Witch Hunt, perpetrated by the Lamestream Media in Collusion with Crooked and the Democrat Party, there can be NO WAY, with the greatest Economy in U.S. history, that I can be losing to the Sleepy One. KEEP AMERICA GREAT!","Twitter for iPhone",18233,99145
2019-07-26 13:58:15,"realDonaldTrump",".@FoxNews is at it again. So different from what they used to be during the 2016 Primaries, &amp; before - Proud Warriors! Now new Fox Polls, which have always been terrible to me (they had me losing BIG to Crooked Hillary), have me down to Sleepy Joe. Even considering.....","Twitter for iPhone",16822,85995
2019-07-26 11:00:49,"realDonaldTrump","“Taken for Granted,” a wonderful new book by Gianno Caldwell on how Conservatism can win back the Americans that Liberalism failed, has my full Endorsement!","Twitter for iPhone",16740,78761
2019-07-26 10:36:22,"realDonaldTrump","“Intelligence Community disappointed Mueller didn’t investigate the Steele Dossier.” @TuckerCarlson @FoxNews ...And plenty of other things!","Twitter for iPhone",15126,64213
2019-07-25 23:25:10,"realDonaldTrump","I am pleased to announce the House has passed our budget deal 284-149. Great for our Military and our Vets. A big thank you!","Twitter for iPhone",19285,110916
2019-07-25 21:24:21,"realDonaldTrump","Give A$AP Rocky his FREEDOM. We do so much for Sweden but it doesn’t seem to work the other way around. Sweden should focus on its real crime problem! #FreeRocky","Twitter for iPhone",98605,334240
2019-07-25 21:19:04,"realDonaldTrump","Very disappointed in Prime Minister Stefan Löfven for being unable to act. Sweden has let our African American Community down in the United States. I watched the tapes of A$AP Rocky, and he was being followed and harassed by troublemakers. Treat Americans fairly! #FreeRocky","Twitter for iPhone",55468,234400
2019-07-25 18:03:39,"realDonaldTrump","...What took place was completely unacceptable, and will not be tolerated. Bill de Blasio should act immediately!","Twitter for iPhone",20665,110522
2019-07-25 18:03:38,"realDonaldTrump","We love our Law Enforcement Officers all around this great Country. What took place in NYC with water being tossed on NYPD officers was a total disgrace. It is time for @NYCMayor @BilldeBlasio to STAND UP for those who protect our lives and serve us all so well...","Twitter for iPhone",30960,146955
2019-07-25 17:59:12,"realDonaldTrump","Today, is the 1-year anniversary of our #PledgetoAmericasWorkers!!!

We have reached 12 MILLION (!!!!) commitments to train &amp; skill American workers from +300 companies.

The Pledge is a commitment to 12 Million American lives improved! 🇺🇸 https://t.co/JLiWdyCVRZ","Twitter for iPhone",14846,0
2019-07-25 17:04:14,"realDonaldTrump","Beautiful Welcome Ceremony at the Pentagon this morning for our new Secretary of Defense, Mark @EsperDoD! https://t.co/qYDkjmqnOd","Twitter for iPhone",12241,54253
2019-07-25 13:00:58,"realDonaldTrump","House Republicans should support the TWO YEAR BUDGET AGREEMENT which greatly helps our Military and our Vets. I am totally with you!","Twitter for iPhone",13355,70471
2019-07-25 12:39:21,"realDonaldTrump","Mark Levin on @foxandfriends now! Great guy.","Twitter for iPhone",6896,42063
2019-07-25 12:37:37,"realDonaldTrump","Mark Levin will be on @foxandfriends now! Great guy.","Twitter for iPhone",6272,41461
2019-07-25 12:07:27,"realDonaldTrump","President Trump’s Approval Rating on Economy is at 52%, a 4 point jump. Fox Poll @foxandfriends  Shouldn’t this be at 100%? Best stock market, economy and unemployment numbers ever! Most people working within U.S. ever! Low interest rates, very low inflation! Country doing great!","Twitter for iPhone",18447,84393
2019-07-25 11:54:46,"realDonaldTrump","Fox Poll say best Economy in DECADES!","Twitter for iPhone",16690,91130
2019-07-25 11:17:39,"realDonaldTrump","TRUTH IS A FORCE OF NATURE!","Twitter for iPhone",49770,0
2019-07-25 11:10:40,"realDonaldTrump","The agreement between the Administration and Speaker Pelosi continues to fund the military at appropriate levels, contains no left-wing poison pills, and the American people get a chaos-free government for a year and a half. 
I agree with President Trump: Congress should pass it. https://t.co/U5cmCSw2gw","Twitter for iPhone",6709,0
2019-07-25 11:06:13,"realDonaldTrump","...impeachment, you have a Party of one. It’s over.” @kilmeade  “Nancy said, Jerry, please sit down. Very bad idea. We discovered that after putting so much time &amp; energy into the Mueller Report, it turns out Mueller didn’t know what was in his Report.” @SteveDoocy @foxandfriends","Twitter for iPhone",17260,91510
